trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2125,False,"{'a': 0.4, 'e': 0.48668966770196337}",25,13,-2.823714194310133,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
2126,False,"{'a': 0.4, 'e': 0.48625281941637216}",20,0,-24.001511078668564,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2127,False,"{'a': 0.4, 'e': 0.48581584956757845}",25,0,-32.6175842015215,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
2128,False,"{'a': 0.4, 'e': 0.48537875826482507}",25,12,-9.858172872978757,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
2129,False,"{'a': 0.4, 'e': 0.4849415456173846}",20,13,15.132714687749685,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2130,False,"{'a': 0.4, 'e': 0.4845042117345603}",20,6,-23.654656408910583,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
2131,False,"{'a': 0.4, 'e': 0.48406675672568544}",25,7,13.393867354362131,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
2132,False,"{'a': 0.4, 'e': 0.48362918070012406}",20,3,18.6073583001545,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2133,False,"{'a': 0.4, 'e': 0.48319148376727}",20,8,8.885098830841212,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2134,False,"{'a': 0.4, 'e': 0.48275366603654757}",20,3,-18.12787818345312,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
2135,False,"{'a': 0.4, 'e': 0.4823157276174109}",20,10,-22.593314671942274,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2136,False,"{'a': 0.4, 'e': 0.48187766861934506}",20,0,-58.758300256405946,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2137,False,"{'a': 0.4, 'e': 0.4814394891518646}",25,7,16.683275774116943,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
